window,QRF_leaf_long_annualized,QRF_leaf_short_annualized,QRT_leaf_long_annualized,QRT_leaf_short_annualized
1,0.000000,0.000000,0.000000,0.071253
2,0.000000,0.000000,0.000000,0.028940
3,0.000000,0.000000,0.000000,0.007499
4,0.000000,0.000000,0.000000,0.142021
5,0.000000,0.193252,-0.062526,0.151688
6,0.000000,0.000000,0.045512,0.000000
7,0.000000,0.000000,0.093780,0.000000
8,0.000000,0.030239,0.000000,0.000000
9,0.000000,0.206155,0.000000,0.161890
10,0.000000,0.137094,0.000000,0.113193
11,0.000000,0.000000,0.098368,0.000000
12,0.164177,0.000000,0.111238,0.000000
13,0.051174,0.000000,0.042438,-0.041620
14,0.151334,0.000000,0.139170,0.000000
15,0.000000,0.000000,0.000000,0.022402
16,0.087206,0.000000,0.079530,0.016547
17,0.000000,0.000000,0.000000,0.019934
18,0.104076,0.000000,0.054296,0.000000
19,0.095600,0.000000,0.089307,0.000000
20,0.000000,-0.002620,0.000000,0.000000
